"","Site","Quadrat","Insertion_Depth_cm","Compaction_Ratio","Core_Length_Corrected_cm","Bagged_Slice_Number","Slice_Number","Analysis","Rhizome_Removed","Slice_Height_cm","Slice_Height_Corrected_cm","Slice_Volume","OLOI","ILOI","Organic_Density_g_per_ml","Inorganic_Density_g_per_ml","Percent_Carbon","Shell_Density_g_per_ml","Rhizome_Density_g_per_ml","Factor","Sediment_Depth_cm","Sediment_Depth_Group"
"21","SMAR01",9,50,0.92,50,17,7,"LOI analysis","N",2,2.17391304347826,44.0615199215215,4.144,1.746,0.0278029219641522,0.0115280408144046,1.6404816,0,0,"Seagrass",15.2173913043478,"10-20cm"
"22","SMAR01",9,50,0.92,50,18,6,"LOI analysis","Y",2,2.17391304347826,44.0615199215215,4.848,2.449,0.0241505967541588,0.0120752983770794,1.9811472,0.0158528348827754,0.000301850685670598,"Seagrass",13.0434782608696,"10-20cm"
"23","SMAR01",9,50,0.92,50,19,5,"LOI analysis","Y",2,2.17391304347826,44.0615199215215,6.248,2.864,0.0333628981165032,0.0156052265383644,2.6586072,0.0118947326586437,0.00285282941269129,"Seagrass",10.8695652173913,"10-20cm"
"24","SMAR01",9,50,0.92,50,21,3,"LOI analysis","Y",2,2.17391304347826,44.0615199215215,5.818,2.022,0.0358466072621459,0.0123608990559124,2.4505302,0.0055399813813679,0,"Seagrass",6.52173913043478,"0-10cm"
"25","SMAR01",9,50,0.92,50,22,2,"LOI analysis","Y",2,2.17391304347826,44.0615199215215,5.566,2.251,0.0305396636883318,0.0125430761577077,2.3285874,0.00544692966623636,0,"Seagrass",4.34782608695652,"0-10cm"
"26","SMAR01",9,50,0.92,50,23,1,"LOI analysis","Y",2,2.17391304347826,44.0615199215215,4.142,2.378,0.0153097986905919,0.00896183337985868,1.6395138,0.00648865496490406,0,"Seagrass",2.17391304347826,"0-10cm"
"27","SMAR01",8,50,0.72,50,1,18,"LOI alysis ","N",2,2.77777777777778,56.3008310108331,12.007,6.046,0.0779945858908384,0.0389972929454192,5.4453873,0,0,"Seagrass",50,"40-50cm"
"28","SMAR01",8,50,0.72,50,4,15,"LOI alysis ","N",2,2.77777777777778,56.3008310108331,3.258,1.861,0.0205464462820703,0.0118297721017981,1.2117462,0,0,"Seagrass",41.6666666666667,"40-50cm"
"29","SMAR01",8,50,0.72,50,9,10,"LOI alysis ","N",2,2.77777777777778,56.3008310108331,2.446,1.195,0.0158973141946659,0.00794865709733293,0.8188194,0,0,"Seagrass",27.7777777777778,"20-30cm"
"30","SMAR01",8,50,0.72,50,12,7,"LOI alysis ","N",2,2.77777777777778,56.3008310108331,2.427,2.783,0.0174067768166944,0.0203079062861435,0.8096253,0.017054810431044,0,"Seagrass",19.4444444444444,"10-20cm"
"31","SMAR01",8,50,0.72,50,13,6,"LOI alysis ","Y",2,2.77777777777778,56.3008310108331,2.367,1.126,0.0169689857653464,0.0077774518091171,0.7805913,0,0,"Seagrass",16.6666666666667,"10-20cm"
"32","SMAR01",8,50,0.72,50,14,5,"LOI alysis ","Y",2,2.77777777777778,56.3008310108331,4.573,2.491,0.0296797750583553,0.0161303125317148,1.8480747,0,0.000566599096803065,"Seagrass",13.8888888888889,"10-20cm"
"33","SMAR01",8,50,0.72,50,16,3,"LOI alysis ","Y",2,2.77777777777778,56.3008310108331,6.593,3.937,0.0321589924605486,0.0190030409994151,2.8255527,0,0.0010728083212196,"Seagrass",8.33333333333333,"0-10cm"
"34","SMAR01",8,50,0.72,50,17,2,"LOI alysis ","Y",2,2.77777777777778,56.3008310108331,7.423,2.27,0.0419204469565622,0.0130293281081207,3.2271897,0,0.000456476388333504,"Seagrass",5.55555555555556,"0-10cm"
"35","SMAR01",8,50,0.72,50,18,1,"LOI alysis ","Y",2,2.77777777777778,56.3008310108331,6.985,2.257,0.0249086909521844,0.00818428417000344,3.0152415,0,0,"Seagrass",2.77777777777778,"0-10cm"
"36","STCH06",1,50,0.876,50,1,21,"LOI analysis","N",2,2.28310502283105,46.2746556253423,2.384,23.874,0.0237667895122637,0.236677612226293,0.7888176,0.00161643558421288,0,"Seagrass",47.9452054794521,"40-50cm"
"37","STCH06",1,50,0.876,50,2,20,"LOI analysis","N",2,2.28310502283105,46.2746556253423,1.171,18.97,0.0127912783358638,0.202528573651177,0.2018469,0,0,"Seagrass",45.662100456621,"40-50cm"
"38","STCH06",1,50,0.876,50,7,15,"LOI analysis","N",2,2.28310502283105,46.2746556253423,2.38,12.829,0.0221346217742366,0.118051316129262,0.786882,0.0453552808040908,0,"Seagrass",34.2465753424658,"30-40cm"
"39","STCH06",1,50,0.876,50,12,10,"LOI analysis","N",2,2.28310502283105,46.2746556253423,2.532,5.817,0.0225728314102883,0.0523689688718689,0.8604348,0.00354621763862746,0,"Seagrass",22.8310502283105,"20-30cm"
"40","STCH06",1,50,0.876,50,15,7,"LOI analysis","N",2,2.28310502283105,46.2746556253423,2.014,7.306,0.0171873780420839,0.0627339298536061,0.6097746,0.059166296604498,0,"Seagrass",15.9817351598174,"10-20cm"
"41","STCH06",1,50,0.876,50,16,6,"LOI analysis","Y",2,2.28310502283105,46.2746556253423,2.26,8.274,0.0211780506360657,0.0764251392518892,0.728814,0.0272006346236464,0.000200973942956949,"Seagrass",13.6986301369863,"10-20cm"
"42","STCH06",1,50,0.876,50,17,5,"LOI analysis","Y",2,2.28310502283105,46.2746556253423,2.751,8.263,0.0223547854872307,0.0662659712657196,0.9664089,0.0206354858203861,0.000386820814938644,"Seagrass",11.4155251141553,"10-20cm"
"43","STCH06",1,50,0.876,50,19,3,"LOI analysis","Y",2,2.28310502283105,46.2746556253423,4.701,10.431,0.0310034722163184,0.0686034278829173,1.9100139,0.00779908559281322,0.00116478446509458,"Seagrass",6.84931506849315,"0-10cm"
"44","STCH06",1,50,0.876,50,20,2,"LOI analysis","Y",2,2.28310502283105,46.2746556253423,3.104,9.469,0.0240545712325172,0.0737156215190044,1.1372256,0.0078855259983861,0.00105457294798915,"Seagrass",4.5662100456621,"0-10cm"
"45","STCH06",1,50,0.876,50,21,0,"LOI analysis","Y",1.3,1.48401826484018,30.0785261564725,2.953,10.132,0.0312432196681212,0.105185506216008,1.0641567,0.0186245827699724,0.00117691936818462,"Seagrass",0,"0-10cm"
"46","STCH06",2,50,0.91,50,1,21,"LOI analysis","N",2,2.1978021978022,44.5457124481317,NA,NA,NA,NA,NA,0,0,"Seagrass",46.1538461538461,"40-50cm"
"47","STCH06",2,50,0.91,50,2,20,"LOI analysis","N",2,2.1978021978022,44.5457124481317,NA,NA,NA,NA,NA,0,0,"Seagrass",43.9560439560439,"40-50cm"
"48","STCH06",2,50,0.91,50,7,15,"LOI analysis","N",2,2.1978021978022,44.5457124481317,NA,NA,NA,NA,NA,0,0,"Seagrass",32.967032967033,"30-40cm"
"49","STCH06",2,50,0.91,50,12,10,"LOI analysis","N",2,2.1978021978022,44.5457124481317,NA,NA,NA,NA,NA,0.00668077764715338,0,"Seagrass",21.978021978022,"20-30cm"
"50","STCH06",2,50,0.91,50,15,7,"LOI analysis","N",2,2.1978021978022,44.5457124481317,NA,NA,NA,NA,NA,0.0607376075340665,0,"Seagrass",15.3846153846154,"10-20cm"
"51","STCH06",2,50,0.91,50,16,6,"LOI analysis","Y",2,2.1978021978022,44.5457124481317,NA,NA,NA,NA,NA,0.0337181721304583,0.00083060743597001,"Seagrass",13.1868131868132,"10-20cm"
"52","STCH06",2,50,0.91,50,17,5,"LOI analysis","Y",2,2.1978021978022,44.5457124481317,NA,NA,NA,NA,NA,0.00660220667348054,0.00129978839304496,"Seagrass",10.989010989011,"10-20cm"
"53","STCH06",2,50,0.91,50,19,3,"LOI analysis","Y",2,2.1978021978022,44.5457124481317,NA,NA,NA,NA,NA,0.0199076398437353,0.00225386450192943,"Seagrass",6.59340659340659,"0-10cm"
"54","STCH06",2,50,0.91,50,20,2,"LOI analysis","Y",2,2.1978021978022,44.5457124481317,NA,NA,NA,NA,NA,0.0144974670851198,0.000738567152524685,"Seagrass",4.3956043956044,"0-10cm"
"55","STCH06",2,50,0.91,50,21,1,"LOI analysis","Y",2.9,3.18681318681319,64.5912830497909,NA,NA,NA,NA,NA,0.00239815641811285,0.00109612314010581,"Seagrass",3.18681318681319,"0-10cm"
"56","STCH06",2,50,0.91,50,1,21,"LOI analysis","N",2,2.1978021978022,44.5457124481317,2.702,21.875,0.0244217443208864,0.198087481713857,0.9426978,0,0,"Seagrass",46.1538461538461,"40-50cm"
"57","STCH06",2,50,0.91,50,2,20,"LOI analysis","N",2,2.1978021978022,44.5457124481317,3.012,6.161,0.0304379462238653,0.062905088862655,1.0927068,0,0,"Seagrass",43.9560439560439,"40-50cm"
"58","STCH06",2,50,0.91,50,7,15,"LOI analysis","N",2,2.1978021978022,44.5457124481317,2.201,7.247,0.0244265483747053,0.0799414310444901,0.7002639,0,0,"Seagrass",32.967032967033,"30-40cm"
"59","STCH06",2,50,0.91,50,12,10,"LOI analysis","N",2,2.1978021978022,44.5457124481317,2.663,6.045,0.0268613730534281,0.0596919401187291,0.9238257,0.00668077764715338,0,"Seagrass",21.978021978022,"20-30cm"
"60","STCH06",2,50,0.91,50,15,7,"LOI analysis","N",2,2.1978021978022,44.5457124481317,2.602,9.167,0.0231611965169787,0.0819550030600783,0.8943078,0.0607376075340665,0,"Seagrass",15.3846153846154,"10-20cm"
"61","STCH06",2,50,0.91,50,16,6,"LOI analysis","Y",2,2.1978021978022,44.5457124481317,2.976,8.575,0.0295119311770069,0.0846008693740864,1.0752864,0.0337181721304583,0.00083060743597001,"Seagrass",13.1868131868132,"10-20cm"
"62","STCH06",2,50,0.91,50,17,5,"LOI analysis","Y",2,2.1978021978022,44.5457124481317,3.689,9.05,0.0288137719537996,0.0708663039944802,1.4203071,0.00660220667348054,0.00129978839304496,"Seagrass",10.989010989011,"10-20cm"
"63","STCH06",2,50,0.91,50,19,3,"LOI analysis","Y",2,2.1978021978022,44.5457124481317,4.704,9.979,0.0359829916710026,0.0765595567468141,1.9114656,0.0199076398437353,0.00225386450192943,"Seagrass",6.59340659340659,"0-10cm"
"64","STCH06",2,50,0.91,50,20,2,"LOI analysis","Y",2,2.1978021978022,44.5457124481317,2.774,9.265,0.0194271446664514,0.064525873356428,0.9775386,0.0144974670851198,0.000738567152524685,"Seagrass",4.3956043956044,"0-10cm"
"65","STCH06",2,50,0.91,50,21,1,"LOI analysis","Y",2.9,3.18681318681319,64.5912830497909,3.103,9.47,0.0213804082345825,0.0655206058801723,1.1367417,0.00239815641811285,0.00109612314010581,"Seagrass",3.18681318681319,"0-10cm"
"66","STCH06",3,40,0.555,40,1,11,"LOI alysis ","N",2,3.6036036036036,73.0389159059456,3.499,4.471,0.0239962488251736,0.0308523199180803,1.3283661,0,0,"Seagrass",39.6396396396396,"30-40cm"
"67","STCH06",3,40,0.555,40,2,10,"LOI alysis ","N",2,3.6036036036036,73.0389159059456,2.669,4.776,0.0153877147005753,0.0273559372454671,0.9267291,0,0,"Seagrass",36.036036036036,"30-40cm"
"68","STCH06",3,40,0.555,40,5,7,"LOI alysis ","N",2,3.6036036036036,73.0389159059456,4.515,9.247,0.0218472574545716,0.0446655041293464,1.8200085,0.00676214855976244,0,"Seagrass",25.2252252252252,"20-30cm"
"69","STCH06",3,40,0.555,40,6,6,"LOI alysis ","N",2,3.6036036036036,73.0389159059456,4.878,10.233,0.0219933028862116,0.0457819774366037,1.9956642,0.0042210374589487,0,"Seagrass",21.6216216216216,"20-30cm"
"70","STCH06",3,40,0.555,40,7,5,"LOI alysis ","N",2,3.6036036036036,73.0389159059456,5.17,10.544,0.0233433913805012,0.0471356941337043,2.136963,0.0068634644118423,0,"Seagrass",18.018018018018,"10-20cm"
"71","STCH06",3,40,0.555,40,9,3,"LOI alysis ","N",2,3.6036036036036,73.0389159059456,5.962,11.457,0.0211325699574678,0.0405040924184799,2.5202118,0.00615425344728329,0.000680459168698508,"Seagrass",10.8108108108108,"10-20cm"
"72","STCH06",3,40,0.555,40,10,2,"LOI alysis ","N",2,3.6036036036036,73.0389159059456,5.775,11.857,0.0190273634645619,0.0390389009014288,2.4297225,0.015588949888936,0.00202768617473338,"Seagrass",7.20720720720721,"0-10cm"
"73","STCH06",3,40,0.555,40,11,1,"LOI alysis ","N",2.7,4.86486486486486,98.6025364730266,2.787,12.372,0.00964413324458581,0.0427097329403086,0.9838293,0.00961638547969186,0.000554752463340165,"Seagrass",4.86486486486486,"0-10cm"
"74","SMAR12",3,50,0.878,50,1,20,"LOI alysis ","N",2,2.27790432801822,46.1692463870157,2.419,0.665,0.0269410505333656,0.00785780640556498,0.8057541,0,0,"Seagrass",45.5580865603645,"40-50cm"
"75","SMAR12",3,50,0.878,50,6,15,"LOI alysis ","N",2,2.27790432801822,46.1692463870157,2.605,0.775,0.029704231871233,0.00913976365268707,0.8957595,0,0,"Seagrass",34.1685649202733,"30-40cm"
"76","SMAR12",3,50,0.878,50,11,10,"LOI alysis ","N",2,2.27790432801822,46.1692463870157,3.851,1.185,0.036709760990958,0.0112953110741409,1.4986989,0,0,"Seagrass",22.7790432801822,"20-30cm"
"77","SMAR12",3,50,0.878,50,14,7,"LOI alysis ","N",2,2.27790432801822,46.1692463870157,3.498,1.229,0.0351393000093729,0.0120477600032136,1.3278822,0,0,"Seagrass",15.9453302961276,"10-20cm"
"78","SMAR12",3,50,0.878,50,15,6,"LOI alysis ","N",2,2.27790432801822,46.1692463870157,2.896,1.307,0.0273296641973098,0.0122512287781044,1.0365744,0,0.00123242210893011,"Seagrass",13.6674259681093,"10-20cm"
"79","SMAR12",3,50,0.878,50,16,5,"LOI alysis ","N",2,2.27790432801822,46.1692463870157,4.101,1.456,0.038548799022644,0.0141032191546258,1.6196739,0.00173275516194041,0.00417160805237153,"Seagrass",11.3895216400911,"10-20cm"
"80","SMAR12",3,50,0.878,50,18,3,"LOI alysis ","N",2,2.27790432801822,46.1692463870157,4.934,1.452,0.0398554696902632,0.0122006539868153,2.0227626,0.00362362423240788,0.00152049265460271,"Seagrass",6.83371298405467,"0-10cm"
"81","SMAR12",3,50,0.878,50,19,2,"LOI alysis ","N",2,2.27790432801822,46.1692463870157,3.397,1.557,0.0268256057207014,0.0126238144568006,1.2790083,0.00388353750669894,0.00512245744748633,"Seagrass",4.55580865603645,"0-10cm"
"82","SMAR12",3,50,0.878,50,20,1,"LOI alysis ","N",3.6,4.1002277904328,83.1046434966283,3.824,1.771,0.0366585773287578,0.0173645892609905,1.4856336,0.00311895929149273,0.00119728568481299,"Seagrass",4.1002277904328,"0-10cm"
"83","STCH20",2,29,0.862068966,28.99999998376,1,12,"LOI alysis ","N",2,2.3199999987008,47.0224540339152,9.413,14.842,0.0514414240961425,0.0809928804917989,4.1901507,0.0427519158942674,0,"Seagrass",27.8399999844096,"20-30cm"
"84","STCH20",2,29,0.862068966,28.99999998376,3,10,"LOI alysis ","N",2,2.3199999987008,47.0224540339152,6.295,9.781,0.0453999699475542,0.0706221754739732,2.6813505,0,0,"Seagrass",23.199999987008,"20-30cm"
"85","STCH20",2,29,0.862068966,28.99999998376,6,7,"LOI alysis ","N",2,2.3199999987008,47.0224540339152,5.619,12.714,0.0417560512384963,0.0946967590587326,2.3542341,0.0293179083976705,0,"Seagrass",16.2399999909056,"10-20cm"
"86","STCH20",2,29,0.862068966,28.99999998376,7,6,"LOI alysis ","N",2,2.3199999987008,47.0224540339152,7.359,14.257,0.051263806824318,0.0990638429172631,3.1962201,0.00690521170515278,0,"Seagrass",13.9199999922048,"10-20cm"
"87","STCH20",2,29,0.862068966,28.99999998376,8,5,"LOI alysis ","N",2,2.3199999987008,47.0224540339152,4.156,15.558,0.0292501960660746,0.108643585388277,1.6462884,0.0164687278856493,0.00242437368151345,"Seagrass",11.599999993504,"10-20cm"
"88","STCH20",2,29,0.862068966,28.99999998376,10,3,"LOI alysis ","N",2,2.3199999987008,47.0224540339152,6.631,18.122,0.0387403430430516,0.106242455921096,2.8439409,0.0433346162352628,0.00451699096450401,"Seagrass",6.9599999961024,"0-10cm"
"89","STCH20",2,29,0.862068966,28.99999998376,11,2,"LOI alysis ","N",2,2.3199999987008,47.0224540339152,4.641,18.273,0.0376873142078426,0.14992996739207,1.8809799,0.0635994029117029,0.000771971619639809,"Seagrass",4.6399999974016,"0-10cm"
"90","STCH20",2,29,0.862068966,28.99999998376,12,1,"LOI alysis ","N",2.5,2.899999998376,58.778067542394,3.002,18.047,0.0259402879977346,0.155641727986408,1.0878678,0.0785190836134798,0.00107693230905124,"Seagrass",2.899999998376,"0-10cm"
"91","SJB02",3,60,0.603333333,60.0000000331492,1,18,"LOI alysis ","N",2,3.31491712890327,67.1877320721476,4.538,0.789,0.0306022384829439,0.00544039795252336,1.8311382,0,0,"Seagrass",59.6685083202588,"below50cm"
"92","SJB02",3,60,0.603333333,60.0000000331492,4,15,"LOI alysis ","N",2,3.31491712890327,67.1877320721476,3.013,0.862,0.0206497519295661,0.00619492557886983,1.0931907,0,0,"Seagrass",49.723756933549,"40-50cm"
"93","SJB02",3,60,0.603333333,60.0000000331492,9,10,"LOI alysis ","N",2,3.31491712890327,67.1877320721476,1.435,0.714,0.00974073658710833,0.00487036829355417,0.3295965,0.00501728499539194,0,"Seagrass",33.1491712890327,"30-40cm"
"94","SJB02",3,60,0.603333333,60.0000000331492,12,7,"LOI alysis ","N",2,3.31491712890327,67.1877320721476,5.409,1.072,0.0331051507678744,0.00674364182308553,2.2526151,0.00467793733032242,0,"Seagrass",23.2044199023229,"20-30cm"
"95","SJB02",3,60,0.603333333,60.0000000331492,13,6,"LOI alysis ","N",2,3.31491712890327,67.1877320721476,5.892,1.379,0.0354714458502755,0.00841695325260774,2.4863388,0,0.00200036518356771,"Seagrass",19.8895027734196,"10-20cm"
