"","Site","Quadrat","Insertion_Depth_cm","Compaction_Ratio","Core_Length_Corrected_cm","Bagged_Slice_Number","Slice_Number","Analysis","Rhizome_Removed","Slice_Height_cm","Slice_Height_Corrected_cm","Slice_Volume","OLOI","ILOI","Organic_Density_g_per_ml","Inorganic_Density_g_per_ml","Percent_Carbon","Shell_Density_g_per_ml","Rhizome_Density_g_per_ml","Factor","Sediment_Depth_cm","Sediment_Depth_Group"
"1","STCH20",1,33.5,0.910447761,33.5000000071393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA
"2","SMAR01",10,41,0.682926829,41.0000000161071,1,14,"LOI alysis ","N",2,2.92857142972194,59.3571618604543,0.888,2.712,0.00714909518412665,0.0214472855523799,0.0649032,0,0,"Seagrass",41.0000000161071,"40-50cm"
"3","SMAR01",10,41,0.682926829,41.0000000161071,5,10,"LOI alysis ","N",2,2.92857142972194,59.3571618604543,2.527,0.988,0.0147526426896668,0.00590105707586672,0.8580153,0,0,"Seagrass",29.2857142972194,"20-30cm"
"4","SMAR01",10,41,0.682926829,41.0000000161071,8,7,"LOI alysis ","N",2,2.92857142972194,59.3571618604543,3.362,1.154,0.0207309103304654,0.00731679188134073,1.2620718,0,0,"Seagrass",20.5000000080536,"20-30cm"
"5","SMAR01",10,41,0.682926829,41.0000000161071,9,6,"LOI alysis ","Y",2,2.92857142972194,59.3571618604543,3.184,0.973,0.0195685906063149,0.00611518456447341,1.1759376,0.00393886757169509,0,"Seagrass",17.5714285783316,"10-20cm"
"6","SMAR01",10,41,0.682926829,41.0000000161071,10,5,"LOI alysis ","Y",2,2.92857142972194,59.3571618604543,1.41,0.598,0.00998137345907571,0.00427773148246102,0.317499,0.00185487305236796,0.000382430683821551,"Seagrass",14.6428571486097,"10-20cm"
"7","SMAR01",10,41,0.682926829,41.0000000161071,12,3,"LOI alysis ","Y",2,2.92857142972194,59.3571618604543,2.613,1.201,0.014635335868017,0.00675477040062325,0.8996307,0.0149164813857093,0.000227436750290349,"Seagrass",8.78571428916582,"0-10cm"
"8","SMAR01",10,41,0.682926829,41.0000000161071,13,2,"LOI alysis ","Y",2,2.92857142972194,59.3571618604543,2.199,0.697,0.013510484242581,0.00429879044082124,0.6992961,0.00533212825680708,0.00392202040500691,"Seagrass",5.85714285944388,"0-10cm"
"9","SMAR01",10,41,0.682926829,41.0000000161071,14,1,"LOI alysis ","Y",2,2.92857142972194,59.3571618604543,3.116,1.484,0.0209724818536071,0.0101479750904551,1.1430324,0.00473742327271454,0.000414440300529081,"Seagrass",2.92857142972194,"0-10cm"
"10","SMAR01",9,50,0.92,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA
"11","SMAR01",8,50,0.72,50,1,18,"LOI alysis ","N",2,2.77777777777778,56.3008310108331,12.007,6.046,0.0779945858908384,0.0389972929454192,5.4453873,0,0,"Seagrass",50,"40-50cm"
"12","SMAR01",8,50,0.72,50,4,15,"LOI alysis ","N",2,2.77777777777778,56.3008310108331,3.258,1.861,0.0205464462820703,0.0118297721017981,1.2117462,0,0,"Seagrass",41.6666666666667,"40-50cm"
"13","SMAR01",8,50,0.72,50,9,10,"LOI alysis ","N",2,2.77777777777778,56.3008310108331,2.446,1.195,0.0158973141946659,0.00794865709733293,0.8188194,0,0,"Seagrass",27.7777777777778,"20-30cm"
"14","SMAR01",8,50,0.72,50,12,7,"LOI alysis ","N",2,2.77777777777778,56.3008310108331,2.427,2.783,0.0174067768166944,0.0203079062861435,0.8096253,0.017054810431044,0,"Seagrass",19.4444444444444,"10-20cm"
"15","SMAR01",8,50,0.72,50,13,6,"LOI alysis ","Y",2,2.77777777777778,56.3008310108331,2.367,1.126,0.0169689857653464,0.0077774518091171,0.7805913,0,0,"Seagrass",16.6666666666667,"10-20cm"
"16","SMAR01",8,50,0.72,50,14,5,"LOI alysis ","Y",2,2.77777777777778,56.3008310108331,4.573,2.491,0.0296797750583553,0.0161303125317148,1.8480747,0,0.000566599096803065,"Seagrass",13.8888888888889,"10-20cm"
"17","SMAR01",8,50,0.72,50,16,3,"LOI alysis ","Y",2,2.77777777777778,56.3008310108331,6.593,3.937,0.0321589924605486,0.0190030409994151,2.8255527,0,0.0010728083212196,"Seagrass",8.33333333333333,"0-10cm"
"18","SMAR01",8,50,0.72,50,17,2,"LOI alysis ","Y",2,2.77777777777778,56.3008310108331,7.423,2.27,0.0419204469565622,0.0130293281081207,3.2271897,0,0.000456476388333504,"Seagrass",5.55555555555556,"0-10cm"
"19","SMAR01",8,50,0.72,50,18,1,"LOI alysis ","Y",2,2.77777777777778,56.3008310108331,6.985,2.257,0.0249086909521844,0.00818428417000344,3.0152415,0,0,"Seagrass",2.77777777777778,"0-10cm"
"20","STCH06",1,50,0.876,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA
"21","STCH06",2,50,0.91,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA
"22","STCH06",3,40,0.555,40,1,11,"LOI alysis ","N",2,3.6036036036036,73.0389159059456,3.499,4.471,0.0239962488251736,0.0308523199180803,1.3283661,0,0,"Seagrass",39.6396396396396,"30-40cm"
"23","STCH06",3,40,0.555,40,2,10,"LOI alysis ","N",2,3.6036036036036,73.0389159059456,2.669,4.776,0.0153877147005753,0.0273559372454671,0.9267291,0,0,"Seagrass",36.036036036036,"30-40cm"
"24","STCH06",3,40,0.555,40,5,7,"LOI alysis ","N",2,3.6036036036036,73.0389159059456,4.515,9.247,0.0218472574545716,0.0446655041293464,1.8200085,0.00676214855976244,0,"Seagrass",25.2252252252252,"20-30cm"
