Date,Region,Site,Diver Name,Quadrat,Insertion Depth (cm),Core Length (cm),Compaction_Ratio,Core Number (if different from quadrat number),Core_Number_Corrected,Notes
7/25/2019,Saint Joe Bay,SJB02,Jenn McHenry,2,50,42,0.84,,2,Was supposed to be halodule
7/9/2019,Saint Joe Bay,SJB06,Jenn McHenry,2,42,36.1,0.85952381,,2,
7/9/2019,Saint Joe Bay,SJB07,Jenn McHenry,2,38,31.5,0.828947368,,2,
7/9/2019,Saint Joe Bay,SJB07,Jenn McHenry,2,38,31.5,0.828947368,,2,
7/10/2019,Saint Joe Bay,SJB10,Jenn McHenry,2,36,33.2,0.922222222,,2,
7/8/2019,Saint Joe Bay,SJB13,Jenn McHenry,2,41,38.6,0.941463415,,2,
7/8/2019,Saint Joe Bay,SJB13,Jenn McHenry,2,41,38.6,0.941463415,,2,
7/8/2019,Saint Joe Bay,SJB13,Jenn McHenry,2,41,38.6,0.941463415,,2,
7/8/2019,Saint Joe Bay,SJB14,Jenn McHenry,2,50,39,0.78,,2,These measurements don’t make sense for some reason.
8/30/2019,Saint Joe Bay,SJB16,Jenn McHenry,2,40.3,33.9,0.841191067,,2,
7/10/2019,Saint Joe Bay,SJB17,Jenn McHenry,2,50,33.8,0.676,,2,
7/25/2019,Saint Joe Bay,SJB24,Jenn McHenry,2,37.5,31,0.826666667,,2,
7/11/2019,Saint Joe Bay,SJBA,Jenn McHenry,2,38,27.6,0.726315789,,2,
7/11/2019,Saint Joe Bay,SJBB,Jenn McHenry,2,40,32.2,0.805,,2,
8/30/2019,Saint Joe Bay,SJBC,Jenn McHenry,2,30,24.5,0.816666667,,2,
8/13/2019,Saint Marks,SMAR03,Jenn McHenry,2,50,41.1,0.822,,2,
8/13/2019,Saint Marks,SMAR03,Jenn McHenry,2,50,41.1,0.822,,2,
8/13/2019,Saint Marks,SMAR03,Jenn McHenry,2,50,41.1,0.822,,2,
8/13/2019,Saint Marks,SMAR04,Jenn McHenry,2,27,20.6,0.762962963,,2,
8/13/2019,Saint Marks,SMAR04,Jenn McHenry,2,27,20.6,0.762962963,,2,
8/14/2019,Saint Marks,SMAR12,Jenn McHenry,2,50,23.6,0.472,,2,
8/14/2019,Saint Marks,SMAR12,Jenn McHenry,2,50,23.6,0.472,,2,
8/14/2019,Saint Marks,SMAR14,Jenn McHenry,2,50,45.5,0.91,,2,
8/14/2019,Saint Marks,SMAR14,Jenn McHenry,2,50,45.5,0.91,,2,
8/20/2019,Saint Marks,SMAR23,Jenn McHenry,2,50,42.5,0.85,,2,
8/20/2019,Saint Marks,SMAR23,Jenn McHenry,2,50,42.5,0.85,,2,
8/20/2019,Saint Marks,SMAR24,Jenn McHenry,2,32,31.9,0.996875,,2,
8/20/2019,Saint Marks,SMAR24,Jenn McHenry,2,32,31.9,0.996875,,2,
8/20/2019,Saint Marks,SMAR24,Jenn McHenry,2,32,31.9,0.996875,,2,
8/14/2019,Saint Marks,SMAR25,Jenn McHenry,2,50,37.5,0.75,,2,
8/14/2019,Saint Marks,SMAR25,Jenn McHenry,2,50,37.5,0.75,,2,
8/14/2019,Saint Marks,SMAR25,Jenn McHenry,2,50,37.5,0.75,,2,
8/14/2019,Saint Marks,SMAR25,Jenn McHenry,2,50,37.5,0.75,,2,
8/16/2019,Saint Marks,SMARA,Jenn McHenry,2,50,29.2,0.584,,2,
8/16/2019,Saint Marks,SMARB,Jenn McHenry,2,50,43.5,0.87,,2,
8/20/2019,Saint Marks,SMARC,Jenn McHenry,2,31,30.2,0.974193548,,2,
6/24/2019,Steinhatchee,STCH01,Jenn McHenry,2,28,22.5,0.803571429,,2,
6/24/2019,Steinhatchee,STCH02,Jenn McHenry,2,50,20,0.4,,2,
6/24/2019,Steinhatchee,STCH04,Jenn McHenry,2,50,43,0.86,,2,
6/25/2019,Steinhatchee,STCH05,Jenn McHenry,2,50,25,0.5,,2,
6/25/2019,Steinhatchee,STCH05,Jenn McHenry,2,50,25,0.5,,2,
7/30/2019,Steinhatchee,STCH12,Jenn McHenry,2,22.3,19.8,0.887892377,,2,Bagged as STCH13
7/30/2019,Steinhatchee,STCH12,Jenn McHenry,2,22.3,19.8,0.887892377,,2,Bagged as STCH13
7/30/2019,Steinhatchee,STCH12,Jenn McHenry,2,22.3,19.8,0.887892377,,2,Bagged as STCH13
8/8/2019,Steinhatchee,STCH21,Jenn McHenry,2,42.5,30,0.705882353,,2,
8/8/2019,Steinhatchee,STCH21,Jenn McHenry,2,42.5,30,0.705882353,,2,
7/30/2019,Steinhatchee,STCHA,Jenn McHenry,2,13,13,1,,2,
7/30/2019,Steinhatchee,STCHA,Jenn McHenry,2,13,13,1,,2,
7/30/2019,Steinhatchee,STCHB,Jenn McHenry,2,35,14,0.4,,2,"Sargassum present, boulders under sediment, possibly Oyster Reefs"
8/8/2019,Steinhatchee,STCHC,Jenn McHenry,2,31,22.9,0.738709677,,2,"Sargassum present, boulders under sediment, possibly Oyster Reefs"
