Florida Fish And Wildlife Conservation Commission,,,,,,
Commercial Landings Summary,,,,,,
Years: 1997 - 2017,,,,,,
"Species: SNAPPER, LANE",,,,,,
Subject to Revision,,,,,,
Years before 2020 are final,,,,,,
"Report created: January 28, 2021",,,,,,
,,,,,,
,,,,,,
Year,County Landed,Species,Pounds,Trips,Average Price,Estimated Value
2000,CITRUS,"SNAPPER, LANE",1504,95,1.84,2769
2000,COLLIER,"SNAPPER, LANE",9675,115,0.91,8793
2000,DUVAL,"SNAPPER, LANE",18,7,2.05,37
2000,ESCAMBIA,"SNAPPER, LANE",170,12,1.38,235
2000,FRANKLIN,"SNAPPER, LANE",232,50,1.71,398
2000,HILLSBOROUGH,"SNAPPER, LANE",42,6,1.81,77
2000,INDIAN RIVER,"SNAPPER, LANE",82,14,1.85,151
2000,LEE,"SNAPPER, LANE",1901,162,1.59,3028
2000,LEVY,"SNAPPER, LANE",506,12,1.18,597
2000,MANATEE,"SNAPPER, LANE",489,35,1.82,890
2000,MARTIN,"SNAPPER, LANE",490,14,1.67,815
2000,MIAMI-DADE,"SNAPPER, LANE",2863,25,1.86,5335
2000,MONROE,"SNAPPER, LANE",14402,402,1.42,20381
2000,OKALOOSA,"SNAPPER, LANE",946,75,2.29,2168
2000,PALM BEACH,"SNAPPER, LANE",997,79,2.23,2222
2000,PASCO,"SNAPPER, LANE",154,1,2.88,445
2000,PINELLAS,"SNAPPER, LANE",1713,146,1.61,2760
2000,SARASOTA,"SNAPPER, LANE",87,7,2.42,211
2000,ST JOHNS,"SNAPPER, LANE",24,5,2.05,50
2000,ST LUCIE,"SNAPPER, LANE",141,36,1.63,230
2000,TAYLOR,"SNAPPER, LANE",2905,58,1.18,3441
2000,VOLUSIA,"SNAPPER, LANE",720,75,2.08,1501
2000,WAKULLA,"SNAPPER, LANE",3483,29,1.16,4042
2000,WALTON,"SNAPPER, LANE",4,1,2.66,12
2001,BAY,"SNAPPER, LANE",498,23,1.65,822
2001,BREVARD,"SNAPPER, LANE",203,31,2.22,451
2001,BROWARD,"SNAPPER, LANE",1051,35,2.05,2154
2001,CHARLOTTE,"SNAPPER, LANE",46,9,1.96,89
2001,CITRUS,"SNAPPER, LANE",3924,154,1.8,7081
2001,COLLIER,"SNAPPER, LANE",5872,62,0.82,4817
2001,DUVAL,"SNAPPER, LANE",127,13,0.93,118
2001,ESCAMBIA,"SNAPPER, LANE",18,2,1.6,29
2001,FRANKLIN,"SNAPPER, LANE",610,97,1.13,688
2001,GULF,"SNAPPER, LANE",1612,14,0,0
2001,INDIAN RIVER,"SNAPPER, LANE",24,6,1.97,47
2001,Inland/Out-of-State,"SNAPPER, LANE",77,2,2.02,155
2001,LEE,"SNAPPER, LANE",3854,136,1.43,5516
2001,LEVY,"SNAPPER, LANE",41,5,1.86,77
2001,MANATEE,"SNAPPER, LANE",346,42,1.79,619
2001,MARTIN,"SNAPPER, LANE",73,5,1.81,132
2001,MIAMI-DADE,"SNAPPER, LANE",6331,46,1.94,12300
2001,MONROE,"SNAPPER, LANE",16193,426,1.43,23080
2001,OKALOOSA,"SNAPPER, LANE",1337,92,2.29,3064
2001,PALM BEACH,"SNAPPER, LANE",1137,66,2.11,2398
2001,PASCO,"SNAPPER, LANE",51,1,2.52,129
2001,PINELLAS,"SNAPPER, LANE",4720,139,1.59,7498
2001,SARASOTA,"SNAPPER, LANE",132,8,3.33,439
2001,ST JOHNS,"SNAPPER, LANE",13,4,1.98,25
2001,ST LUCIE,"SNAPPER, LANE",491,47,2.24,1099
2001,TAYLOR,"SNAPPER, LANE",6707,122,1.42,9528
2001,VOLUSIA,"SNAPPER, LANE",399,53,2.02,807
2001,WAKULLA,"SNAPPER, LANE",1029,13,1.29,1330
2002,BAY,"SNAPPER, LANE",933,22,2.37,2208
2002,BREVARD,"SNAPPER, LANE",236,45,2.47,583
2002,BROWARD,"SNAPPER, LANE",320,25,1.99,635
2002,CHARLOTTE,"SNAPPER, LANE",11,2,2.66,30
2002,CITRUS,"SNAPPER, LANE",3411,176,1.98,6745
2002,COLLIER,"SNAPPER, LANE",3970,30,1.09,4339
2002,DIXIE,"SNAPPER, LANE",27,3,0.85,23
2002,DUVAL,"SNAPPER, LANE",61,3,1.92,117
2002,ESCAMBIA,"SNAPPER, LANE",182,11,1.59,290
2002,FRANKLIN,"SNAPPER, LANE",1100,119,1.4,1543
2002,GULF,"SNAPPER, LANE",104,4,1.01,105
2002,HILLSBOROUGH,"SNAPPER, LANE",73,2,1.82,134
2002,INDIAN RIVER,"SNAPPER, LANE",28,7,2.26,63
2002,Inland/Out-of-State,"SNAPPER, LANE",85,4,2.38,203
2002,LEE,"SNAPPER, LANE",1679,77,1.84,3083
2002,LEVY,"SNAPPER, LANE",87,5,1.42,124
2002,MANATEE,"SNAPPER, LANE",561,61,1.73,970
2002,MARTIN,"SNAPPER, LANE",119,6,1.68,200
2002,MIAMI-DADE,"SNAPPER, LANE",2132,23,2.21,4704
