Florida Fish And Wildlife Conservation Commission,,,,,,
Commercial Landings Summary,,,,,,
Years: 1997 - 2017,,,,,,
"Species: SNAPPER, GREY (MANGROVE)",,,,,,
Subject to Revision,,,,,,
Years before 2020 are final,,,,,,
"Report created: January 28, 2021",,,,,,
,,,,,,
,,,,,,
Year,County Landed,Species,Pounds,Trips,Average Price,Estimated Value
2015,DUVAL,"SNAPPER, GREY (MANGROVE)",23981,298,2.49,59800
2015,ESCAMBIA,"SNAPPER, GREY (MANGROVE)",21,5,3.06,63
2015,FRANKLIN,"SNAPPER, GREY (MANGROVE)",10392,278,2.32,24066
2015,HERNANDO,"SNAPPER, GREY (MANGROVE)",102,14,2.63,268
2015,HILLSBOROUGH,"SNAPPER, GREY (MANGROVE)",223,6,2.39,534
2015,INDIAN RIVER,"SNAPPER, GREY (MANGROVE)",5068,65,4.21,21349
2015,LEE,"SNAPPER, GREY (MANGROVE)",14833,484,3.08,45682
2015,LEVY,"SNAPPER, GREY (MANGROVE)",655,32,3.05,2000
2015,MANATEE,"SNAPPER, GREY (MANGROVE)",7071,230,1.79,12631
2015,MARTIN,"SNAPPER, GREY (MANGROVE)",260,23,4.43,1153
2015,MIAMI-DADE,"SNAPPER, GREY (MANGROVE)",3648,107,3.3,12022
2015,MONROE,"SNAPPER, GREY (MANGROVE)",112305,1583,2.45,275191
2015,OKALOOSA,"SNAPPER, GREY (MANGROVE)",770,54,2.21,1704
2015,PALM BEACH,"SNAPPER, GREY (MANGROVE)",1691,101,4.06,6871
2015,PASCO,"SNAPPER, GREY (MANGROVE)",7990,82,3.13,25007
2015,PINELLAS,"SNAPPER, GREY (MANGROVE)",59438,1245,2.77,164369
2015,SANTA ROSA,"SNAPPER, GREY (MANGROVE)",16,3,1.59,25
2015,SARASOTA,"SNAPPER, GREY (MANGROVE)",1023,60,2.71,2770
2015,ST JOHNS,"SNAPPER, GREY (MANGROVE)",5614,122,2.25,12646
2015,ST LUCIE,"SNAPPER, GREY (MANGROVE)",552,26,4.05,2234
2015,TAYLOR,"SNAPPER, GREY (MANGROVE)",1819,26,2.33,4235
2015,VOLUSIA,"SNAPPER, GREY (MANGROVE)",10966,184,3.35,36774
2015,WAKULLA,"SNAPPER, GREY (MANGROVE)",7837,98,2.76,21605
2016,BAY,"SNAPPER, GREY (MANGROVE)",15728,365,2.27,35724
2016,BREVARD,"SNAPPER, GREY (MANGROVE)",4807,105,3.98,19125
2016,BROWARD,"SNAPPER, GREY (MANGROVE)",283,19,2.93,830
2016,CHARLOTTE,"SNAPPER, GREY (MANGROVE)",124,42,2.01,249
2016,CITRUS,"SNAPPER, GREY (MANGROVE)",976,71,2.53,2474
2016,COLLIER,"SNAPPER, GREY (MANGROVE)",5795,65,1.95,11327
2016,DIXIE,"SNAPPER, GREY (MANGROVE)",3821,29,3.02,11531
